,bar_80s,bar_Ele,bar_Jaz,bar_Met,con_80s,con_Ele,con_Jaz,con_Met,mov_80s,mov_Ele,mov_Jaz,mov_Met,vid_80s,vid_Ele,vid_Jaz,vid_Met
anywhere,0.0,0.020737968744507607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apart,0.037306818658071915,0.0,0.0,0.0,0.017981449583719382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apartment,0.0,0.0,0.0,0.0,0.0,0.0,0.015202101039078889,0.0,0.0,0.01570055141075269,0.0,0.016294111886511115,0.0,0.0,0.0,0.0
app,0.0,0.020737968744507607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appeal,0.0,0.0,0.0,0.0,0.016089787664062355,0.0,0.0,0.014068641468207018,0.0,0.0,0.0,0.0,0.015631025331768782,0.0,0.0,0.0
appear,0.012873775117940491,0.01246433439025354,0.0,0.0,0.03723005282606187,0.0,0.0,0.010851112021864697,0.0,0.012109800548128965,0.0,0.0,0.0,0.02418225442316062,0.0,0.0
applause,0.02141918995918714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apply,0.0,0.018060151685527822,0.0,0.0,0.0,0.0,0.01698939843757939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
approach,0.0,0.0,0.0,0.0,0.0,0.016161446285622487,0.0,0.0,0.0,0.01570055141075269,0.014487405718352333,0.0,0.0,0.0,0.0,0.0
appropriate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aquarium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020148100765468246,0.0,0.0,0.0,0.0,0.0,0.0
arcade,0.0,0.046329806990034576,0.010489932091821585,0.011092847052899708,0.0,0.04633335059967168,0.0,0.020166737743867968,0.0,0.04501200822414854,0.0,0.0,0.0,0.06741389942681199,0.0,0.0
architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arctic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117032353984963,0.0,0.0
area,0.011159495482240185,0.0,0.01957085983777571,0.010347853206954583,0.010757492201776329,0.0,0.020327985277739487,0.0,0.020641252363194994,0.0,0.0,0.0,0.04180307077335692,0.0,0.05087591550315876,0.0
arena,0.0,0.011582451747508644,0.0,0.011092847052899708,0.011531978013262311,0.02316667529983584,0.010895749440473815,0.0,0.0,0.0,0.0,0.011678422608433625,0.0,0.011235649904468665,0.0,0.0
arent,0.015168937823734503,0.0,0.0,0.0,0.029245001372642125,0.0,0.0,0.0,0.0,0.014268760320071593,0.0,0.0,0.014205574580216856,0.0,0.0,0.0
argentina,0.0,0.0,0.0,0.019861348916918146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,0.0,0.0,0.026602381488365297,0.0,0.014622500686321063,0.014687624494342735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013905654683529898
armor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015722679040508683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017099936186319564
army,0.0,0.0,0.0,0.01729672652794097,0.0,0.0,0.0,0.0,0.0,0.0,0.016190677028342343,0.0,0.0,0.0,0.0,0.0
arrival,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrive,0.0,0.0,0.0,0.0,0.016089787664062355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015631025331768782,0.0,0.0304376768230586,0.0
art,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artica,0.0,0.0,0.0,0.019861348916918146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artist,0.011159495482240185,0.0,0.0,0.0,0.021514984403552657,0.01080540253339276,0.020327985277739487,0.00940617142026428,0.010320626181597497,0.0,0.0,0.010894101601199042,0.0,0.01048106544169677,0.0,0.0
artiste,0.0,0.0,0.0,0.0,0.016089787664062355,0.0,0.015202101039078889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152188384115293,0.0
artistry,0.0,0.0,0.0,0.0,0.0,0.0,0.019508452637683964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artsier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020148100765468246,0.0,0.0,0.0,0.0,0.0,0.0
artwork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ask,0.01669105674254255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015436375012630385,0.0,0.014487405718352333,0.0,0.0,0.0,0.0,0.0
aspect,0.0,0.0,0.0,0.0,0.0,0.0,0.015202101039078889,0.0,0.015436375012630385,0.0,0.0,0.0,0.015631025331768782,0.0,0.0,0.0
aspects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117032353984963,0.0,0.0
assemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020148100765468246,0.0,0.0,0.0,0.0,0.0,0.0
assignment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
associate,0.0,0.0,0.0,0.015477097984908927,0.0,0.0,0.0,0.0,0.0,0.01570055141075269,0.0,0.0,0.0,0.0,0.0152188384115293,0.0
assume,0.0,0.0,0.0,0.019861348916918146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astely,0.02141918995918714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asteroid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04029620153093649,0.0,0.0,0.0,0.0,0.0,0.0
astronaut,0.0,0.0,0.0,0.0,0.0,0.020739554921327053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
athlete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117032353984963,0.0,0.0
atmosphere,0.011159495482240185,0.021609152256097122,0.04892714959443928,0.0,0.0,0.0,0.010163992638869744,0.0,0.0,0.0,0.009686153558585646,0.021788203202398083,0.04180307077335692,0.0,0.0,0.010230122400240649
atmospheric,0.015168937823734503,0.0,0.013301190744182649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014246757863257393,0.0,0.013905654683529898
attach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attachment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019635380053265906
